Apache/2.0.44,1
Orion/2.0.7,1
Orion/2.0.5,1
Oracle-Application-Server-10g/9.0.4.0.0,1
WebLogic,3
SAGA,1
NaviServer/2.0,1
Apache-AdvancedExtranetServer/1.3.23,1
Sun-ONE-Web-Server/6.1,48
Apache-AdvancedExtranetServer/1.3.26,1
WebSTAR/4.2,1
noViA,1
DinaHTTPd,4
Web,2
Apache/1.3.4,1
WLW,1
AtyponWS/7.1,1
YTS/1.15.1,1
INT.PL/3.0.9f,2
Undisclosed-Webserver/0.1,1
Apache-AdvancedExtranetServer/2.0.50,1
WebServerX,18
Apache/1.3.28,53
Apache/1.3.29,126
IIS/7.0,1
publicfile,1
Apache/1.3.24,7
Apache/1.3.26,242
Apache/1.3.27,245
Apache/1.3.20,41
Apache/1.3.22,20
WebSitePro/2.3.7,1
Discworld/0.10.3,1
ZWS,3
Sun-Java-System-Web-Server/6.1,1
Apache/1.3.3,5
Apache-AdvancedExtranetServer/1.3.33,7
Stronghold/2.4.2,2
httpd/kbn,1
ZealdWeb/1.0,2
Ski,1
Stronghold/4.0,1
4D_WebSTAR_S/5.3.0,1
nginx/0.1.45,1
CoolWeb,1
AOLserver/4.0.10,3
GFE/1.3,32
SAP,1
IceWarp/8.3,1
LoboCom-WebServer/1.0,1
Apache/1.3.23,9
ZX_Spectrum/1997,15
A,8
Apache/2.0.36,1
Zope/(Zope,22
.V10,2
IBM_HTTP_Server/6.0.1,2
Apache/1.2.6,2
az-webserver,1
Oversee,3
Apache/ASJ2007070300SUX-FATE,1
WEB602/1.04,1
Apache/2.0.39,5
nix,1
Apache-AdvancedExtranetServer,1
ONI,1
web500gw,1
"""USHR",2
Serverplan,1
WebTV/1.0,1
Apache-AdvancedExtranetServer/1.3.31,1
The,1
IBM_HTTP_Server/6.1.0.5,9
Apache/10.0,1
Netscape-Enterprise/6.0,12
OF.PL,1
nginx/0.6.16,1
Reed,1
OSU/3.10a;Multinet,2
ConcentricHost-Ashurbanipal/2.0,17
<a,1
.V09,2
Apache-AdvancedExtranetServer/2.0.48,1
INSIDE,1
THEO+Server/5.0,1
Roxen/2.1.135,1
Spry-SafetyWEB-Server-NT/1.3a,2
Zeus/4.0,1
Zeus/4.1,6
Zeus/4.2,19
Zeus/4.3,54
IBM_HTTP_Server/6.0,1
Apache/1.3.32,1
Lotus-Domino,23
Microsoft-IIS/5.0,866
hi-ho,3
nginx/0.3.25,1
Oracle-Application-Server-10g/10.1.2.0.0,2
